summary_level,slide,cell_state,if_marker,n_cells,mean_value,median_value,q25,q75,pct_above_slide_q80,other_mean_value,delta_log1p_vs_rest
slide,slide5b2,other/background,Mean.PanCK,18688,9608.7434182363,2811.5,1267,15012.25,0,22572.7456363204,-0.925430149623926
slide,slide5b2,other/background,Mean.CD45,18688,127.760648544521,134,89,172,0,282.62610348546,-0.74636255089905
slide,slide5b2,other/background,Mean.CD3,18688,376.422784674658,294,160,460,0.126872859589041,513.938990733464,-0.464891347160436
slide,slide5b2,other/background,Mean.DAPI,18688,7673.76043450342,7135,4569,10209,0.106752996575342,9926.53908577486,-0.324732164560386
slide,slide5b2,other/background,Mean.MembraneStain,18688,1036.94782748288,828,521,1264,0.0913420376712329,1490.66037322026,-0.470349193332111
slide,slide5b3,CAF/matrix-like,Mean.PanCK,3668,1527.65539803708,946,556.75,1452,0,10515.5846538569,-1.52291387102741
slide,slide5b3,CAF/matrix-like,Mean.CD45,3668,105.489640130862,111,75,139,0,195.483451989079,-0.53519944019331
slide,slide5b3,CAF/matrix-like,Mean.CD3,3668,173.874591057797,161,80.75,261,0.0823336968375136,228.926050677486,-0.320514261091607
slide,slide5b3,CAF/matrix-like,Mean.DAPI,3668,3117.7066521265,2916.5,2095,3930.25,0.11504907306434,3448.88417668223,0.0883662154607317
slide,slide5b3,CAF/matrix-like,Mean.MembraneStain,3668,856.504907306434,753,456,1101,0.0174482006543075,1730.50616244354,-0.644421767274114
slide,slide5b3,TGF/EMT stromal-interface,Mean.PanCK,4564,13706.8319456617,9243,1172.5,24755.5,0.33567046450482,9274.2983312877,0.468752257933774
slide,slide5b3,TGF/EMT stromal-interface,Mean.CD45,4564,136.635845749343,135,95,174,0,193.876974904029,-0.265986130353945
slide,slide5b3,TGF/EMT stromal-interface,Mean.CD3,4564,223.073181419807,221,134,312,0.210780017528484,224.350377353563,0.084310707063028
slide,slide5b3,TGF/EMT stromal-interface,Mean.DAPI,4564,3334.64855390009,3169.5,2313.5,4161,0.140666082383874,3430.77674770846,0.12381756665467
slide,slide5b3,TGF/EMT stromal-interface,Mean.MembraneStain,4564,1627.18930762489,1202,734,2126,0.205740578439965,1659.10150680281,-0.00689317531503431
slide,slide5b3,tumor epithelial-like,Mean.PanCK,12549,20893.4957367121,22246,11293,29171,0.563710255797275,5130.8634353966,1.99344269391413
slide,slide5b3,tumor epithelial-like,Mean.CD45,12549,148.54697585465,150,103,196,0,204.026032730632,-0.213050355267733
slide,slide5b3,tumor epithelial-like,Mean.CD3,12549,237.381225595665,234,148,324,0.246075384492788,218.762636927544,0.229628840396621
slide,slide5b3,tumor epithelial-like,Mean.DAPI,12549,3091.14383616224,3047,1829,4215,0.156426806916886,3556.925762175,-0.275191373395786
slide,slide5b3,tumor epithelial-like,Mean.MembraneStain,12549,2278.40640688501,1816,1045,3173,0.376364650569767,1397.87330077867,0.512704699912329
